ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,125,C:\Program Files\WindowsApps\Microsoft.WindowsStore_12107.1001.15.0_x64__8wekyb3d8bbwe\Application,2021-09-15 19:39:46,NA,False,Live Registry
1,126,C:\Windows\system32\ApplicationFrameHost.exe,2021-01-18 19:14:58,NA,False,Live Registry
1,127,C:\Windows\system32\wlrmdr.exe,2021-01-18 19:14:38,NA,False,Live Registry
1,128,C:\Windows\SysWOW64\cmd.exe,2021-01-18 19:16:00,NA,False,Live Registry
1,129,C:\Users\Klim\AppData\Local\Discord\app-1.0.9002\Discord.exe,2021-05-25 17:06:12,NA,False,Live Registry
1,130,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\Application,2021-07-09 17:35:45,NA,False,Live Registry
1,131,C:\Windows\system32\AUDIODG.EXE,2021-08-16 14:16:17,NA,False,Live Registry
1,132,C:\Windows\SysWOW64\reg.exe,2019-12-07 09:09:57,NA,False,Live Registry
1,133,D:\Yandex\Punto Switcher\ps64ldr.exe,2019-02-07 13:34:38,NA,False,Live Registry
1,134,C:\Program Files (x86)\Teams Installer\Teams.exe,2021-03-12 19:35:24,NA,False,Live Registry
1,135,D:\Yandex\Punto Switcher\punto.exe,2019-02-07 13:34:46,NA,False,Live Registry
1,136,C:\Windows\SysWOW64\runonce.exe,2021-09-17 13:51:56,NA,False,Live Registry
1,137,C:\Program Files\WindowsApps\Microsoft.SkypeApp_15.75.140.0_x86__kzf8qxf38zg5c\Skype\Skype.exe,2021-08-15 18:17:29,NA,False,Live Registry
1,138,00000000	000f004b008c0000	000a000047ba0000	014c	Microsoft.SkypeApp	kzf8qxf38zg5c	,,NA,False,Live Registry
1,139,D:\CCleaner\CCleaner.exe,2021-09-10 13:35:04,NA,False,Live Registry
1,140,C:\Windows\system32\SecurityHealthService.exe,2021-08-16 14:16:33,NA,False,Live Registry
1,141,C:\Windows\System32\SecurityHealthSystray.exe,2019-12-07 09:08:41,NA,False,Live Registry
1,142,C:\Windows\System32\mobsync.exe,2019-12-07 09:09:47,NA,False,Live Registry
1,143,00000009	07e5524e55f70000	000a00004bc80000	8664	Microsoft.Windows.Photos	8wekyb3d8bbwe	,,NA,False,Live Registry
1,144,00000009	007808a40dca0000	000a00007fff0000	8664	MicrosoftWindows.Client.CBS	cw5n1h2txyewy	,,NA,False,Live Registry
1,145,0000000b	000a0000000203e8	000a00004a6103c4	8664	windows.immersivecontrolpanel	cw5n1h2txyewy	neutral,,NA,False,Live Registry
1,146,0000000b	000a00004a6103ff	000a000000000000	8664	Microsoft.LockApp	cw5n1h2txyewy	,,NA,False,Live Registry
1,147,00000009	000502d1233e0000	000a00004a610000	8664	Microsoft.XboxGamingOverlay	8wekyb3d8bbwe	,,NA,False,Live Registry
1,148,0000000b	000a00004a6103ff	000a00004a6103ff	8664	Microsoft.Windows.ShellExperienceHost	cw5n1h2txyewy	neutral,,NA,False,Live Registry
1,149,00000009	2f4b03e9000f0000	000a000047ba0000	8664	Microsoft.WindowsStore	8wekyb3d8bbwe	,,NA,False,Live Registry
1,150,C:\Windows\SystemApps\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy\Application,2021-09-18 09:46:12,NA,False,Live Registry
1,151,0000000b	03e84a6103ff0000	000a0000295b0000	8664	Microsoft.AAD.BrokerPlugin	cw5n1h2txyewy	neutral,,NA,False,Live Registry
1,152,C:\Windows\system32\SettingSyncHost.exe,2021-09-17 13:51:51,NA,False,Live Registry
1,153,00000009	0001525c00430000	000a00004a640000	8664	Microsoft.YourPhone	8wekyb3d8bbwe	,,NA,False,Live Registry
1,154,C:\Program Files\WindowsApps\Microsoft.YourPhone_1.21084.67.0_x64__8wekyb3d8bbwe\Application,2021-09-17 08:14:08,NA,False,Live Registry
1,155,00000009	0001525c00430000	000a000053350000	8664	Microsoft.YourPhone	8wekyb3d8bbwe	,,NA,False,Live Registry
1,156,C:\Windows\system32\SearchIndexer.exe,2021-08-16 14:16:26,NA,False,Live Registry
1,157,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\Application,2021-09-18 09:46:12,NA,False,Live Registry
1,158,C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\Application,2021-09-18 09:46:12,NA,False,Live Registry
1,159,0000000b	000a00004a6103ff	000a00004a6103ff	8664	Microsoft.Windows.StartMenuExperienceHost	cw5n1h2txyewy	neutral,,NA,False,Live Registry
1,160,C:\Windows\SysWOW64\regsvr32.exe,2019-12-07 09:10:04,NA,False,Live Registry
1,161,C:\Windows\system32\regsvr32.exe,2019-12-07 09:09:46,NA,False,Live Registry
1,162,C:\Program Files (x86)\Google\Update\1.3.36.102\GoogleCrashHandler64.exe,2021-08-05 02:45:39,NA,False,Live Registry
1,163,C:\Program Files (x86)\Google\Update\1.3.36.102\GoogleCrashHandler.exe,2021-08-05 02:45:39,NA,False,Live Registry
1,164,C:\Windows\system32\ctfmon.exe,2019-12-07 09:09:00,NA,False,Live Registry
1,165,C:\Windows\Explorer.EXE,2021-09-17 13:51:38,NA,False,Live Registry
1,166,C:\Windows\system32\userinit.exe,2019-12-07 09:08:49,NA,False,Live Registry
1,167,C:\Program Files (x86)\Google\Update\GoogleUpdate.exe,2021-05-25 10:47:20,NA,False,Live Registry
1,168,C:\Windows\system32\sihost.exe,2021-01-18 19:14:49,NA,False,Live Registry
1,169,D:\Malwarebytes\Anti-Malware\mbamtray.exe,2021-08-07 14:57:19,NA,False,Live Registry
1,170,C:\Windows\System32\vmwp.exe,2021-09-17 13:52:03,NA,False,Live Registry
1,171,C:\Windows\Microsoft.NET\Framework\v4.0.30319\NGenTask.exe,2020-12-02 22:45:24,NA,False,Live Registry
1,172,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\NGenTask.exe,2020-12-02 22:38:14,NA,False,Live Registry
