BagPath,Slot,NodeSlot,MRUPosition,AbsolutePath,ShellType,Value,ChildBags,CreatedOn,ModifiedOn,AccessedOn,LastWriteTime,MFTEntry,MFTSequenceNumber,ExtensionBlockCount,FirstInteracted,LastInteracted,HasExplored,Miscellaneous
BagMRU\4,1,0,0,Desktop\Control Panel\Programs,Control Panel Category,Programs,1,,,,2021-09-24 16:35:09,,,0,,2021-09-24 16:35:09,False,
BagMRU\4,2,160,2,Desktop\Control Panel\System and Security,Control Panel Category,System and Security,1,,,,2021-09-24 16:35:09,,,0,,,True,
BagMRU\4,3,265,1,"Desktop\Control Panel\Clock, Language, and Region",Control Panel Category,"Clock, Language, and Region",0,,,,2021-09-24 16:35:09,,,0,2021-09-21 16:50:11,,True,
BagMRU\4\0,0,44,0,Desktop\Control Panel\Hardware and Sound\Power Options,GUID: Control panel,Power Options,3,,,,2021-05-26 15:27:50,,,0,,2021-05-26 15:27:50,True,
BagMRU\4\0\0,0,45,2,Desktop\Control Panel\Hardware and Sound\Power Options\Create a Power Plan,Variable: Users property view,Create a Power Plan,0,,,,2021-05-26 15:30:35,,,0,2021-05-26 15:27:30,,False,
BagMRU\4\0\0,1,46,1,Desktop\Control Panel\Hardware and Sound\Power Options\Edit Plan Settings,Variable: Users property view,Edit Plan Settings,0,,,,2021-05-26 15:30:35,,,0,2021-05-26 15:27:41,,False,
BagMRU\4\0\0,2,48,0,Desktop\Control Panel\Hardware and Sound\Power Options\System Settings,Variable: Users property view,System Settings,0,,,,2021-05-26 15:30:35,,,0,2021-05-26 15:30:35,2021-05-26 15:30:35,False,
BagMRU\4\1,0,70,0,Desktop\Control Panel\Programs\Programs and Features,GUID: Control panel,Programs and Features,0,,,,2021-06-09 14:50:28,,,0,2021-06-09 14:50:28,2021-06-09 14:50:28,True,
BagMRU\4\2,0,113,0,Desktop\Control Panel\System and Security\Windows Firewall,GUID: Control panel,Windows Firewall,0,,,,2021-08-16 14:06:59,,,0,2021-06-24 16:37:38,2021-08-16 14:06:59,True,
BagMRU\5,0,0,0,Desktop\E:\\5 курс,Directory,5 курс,0,2021-09-04 06:23:06,2021-09-04 06:23:06,2021-09-04 06:23:04,,5408960,,1,,,False,exFAT file system
BagMRU\5,1,243,3,Desktop\E:\\Univer,Directory,Univer,5,2021-05-24 16:36:18,2021-05-24 16:06:22,2021-05-24 16:36:16,2021-10-03 11:44:45,5408736,,1,,,True,exFAT file system
BagMRU\5,2,0,1,Desktop\E:\\3 курс,Directory,3 курс,0,2021-03-03 13:48:44,2021-03-03 13:32:22,2021-03-03 13:48:42,,5407232,,1,,,False,exFAT file system
BagMRU\5,3,0,2,Desktop\E:\\4 курс,Directory,4 курс,0,2021-03-03 13:48:46,2021-03-03 13:27:42,2021-03-03 13:48:44,,5407328,,1,,,False,exFAT file system
BagMRU\5\0,0,0,0,Desktop\E:\\5 курс\С09-361-1,Directory,С09-361-1,0,2021-09-04 06:23:12,2021-09-04 05:17:34,2021-09-04 06:23:10,,2406547456,,1,,,False,exFAT file system
BagMRU\5\0\0,0,0,4,Desktop\E:\\5 курс\С09-361-1\КТР,Directory,КТР,0,2021-09-04 06:23:14,2021-09-04 05:18:20,2021-09-04 06:23:12,,2406581056,,1,,,False,exFAT file system
BagMRU\5\0\0,1,207,2,Desktop\E:\\5 курс\С09-361-1\Pics,Directory,Pics,0,2021-09-04 08:12:34,2021-09-04 08:12:34,2021-09-04 08:12:32,2021-10-03 11:44:50,2406584896,,1,2021-09-14 12:47:28,,True,exFAT file system
BagMRU\5\0\0,2,0,0,Desktop\E:\\5 курс\С09-361-1\Отчеты ЗД,Directory,Отчеты ЗД,0,2021-09-04 06:27:52,2021-09-04 05:23:06,2021-09-04 06:27:50,,2406581376,,1,,,False,exFAT file system
BagMRU\5\0\0,3,0,3,Desktop\E:\\5 курс\С09-361-1\Теория_лекции,Directory,Теория_лекции,0,2021-09-04 06:23:16,2021-03-10 04:55:10,2021-09-04 06:23:14,,2406581280,,1,,,False,exFAT file system
BagMRU\5\0\0,4,0,1,Desktop\E:\\5 курс\С09-361-1\ЛР_1_Построение_Use_Case,Directory,ЛР_1_Построение_Use_Case,0,2021-09-04 06:23:14,2021-09-04 05:18:12,2021-09-04 06:23:12,,2406581152,,1,,,False,exFAT file system
BagMRU\5\1,0,0,4,Desktop\E:\\Univer\2 курс,Directory,2 курс,0,2021-05-24 16:36:24,2021-03-04 14:34:04,2021-05-24 16:36:22,,10813696,,1,,,False,exFAT file system
BagMRU\5\1,1,300,3,Desktop\E:\\Univer\Pets,Directory,Pets,1,2021-05-24 17:36:22,2021-05-24 15:53:26,2021-05-24 17:36:20,2021-09-27 16:37:17,10814176,,1,,,True,exFAT file system
